Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,184,2,Some Random Commen with Id 0
1,0,8,16,3,Some Random Commen with Id 1
2,0,8,15,3,Some Random Commen with Id 2
3,0,8,23,2,Some Random Commen with Id 3
4,0,8,119,6,Some Random Commen with Id 4
5,1,9,91,6,Some Random Commen with Id 5
6,1,9,65,6,Some Random Commen with Id 6
7,1,9,115,9,Some Random Commen with Id 7
8,1,9,139,6,Some Random Commen with Id 8
9,1,9,65,6,Some Random Commen with Id 9
10,1,9,81,9,Some Random Commen with Id 10
11,1,9,7,3,Some Random Commen with Id 11
12,1,9,180,7,Some Random Commen with Id 12
13,2,0,18,5,Some Random Commen with Id 13
14,2,0,149,6,Some Random Commen with Id 14
15,2,0,107,0,Some Random Commen with Id 15
16,2,0,92,2,Some Random Commen with Id 16
17,2,0,43,7,Some Random Commen with Id 17
18,3,2,32,6,Some Random Commen with Id 18
19,3,2,126,8,Some Random Commen with Id 19
20,3,2,178,9,Some Random Commen with Id 20
21,4,6,41,5,Some Random Commen with Id 21
22,4,6,88,2,Some Random Commen with Id 22
23,4,6,136,0,Some Random Commen with Id 23
24,4,6,151,1,Some Random Commen with Id 24
25,4,6,21,7,Some Random Commen with Id 25
26,4,6,65,0,Some Random Commen with Id 26
27,4,6,25,5,Some Random Commen with Id 27
28,4,6,39,4,Some Random Commen with Id 28
29,4,6,98,2,Some Random Commen with Id 29
30,5,4,186,2,Some Random Commen with Id 30
31,5,4,4,3,Some Random Commen with Id 31
32,5,4,100,6,Some Random Commen with Id 32
33,5,4,197,2,Some Random Commen with Id 33
34,5,4,179,8,Some Random Commen with Id 34
35,5,4,165,9,Some Random Commen with Id 35
36,5,4,39,9,Some Random Commen with Id 36
37,6,0,5,0,Some Random Commen with Id 37
38,6,0,11,8,Some Random Commen with Id 38
39,7,7,122,1,Some Random Commen with Id 39
40,7,7,163,8,Some Random Commen with Id 40
41,7,7,11,9,Some Random Commen with Id 41
